"Category","Exercise","Calories Burned (per 30 min)","Intensity","Key Benefits"
"Cardiovascular","Brisk Walking","120-180","Moderate","Improves heart health, endurance, lowers blood pressure and LDL cholesterol"
"Cardiovascular","Cycling","200-300","Moderate-High","Strengthens legs, boosts cardiovascular fitness, improves overall stamina"
"Cardiovascular","Swimming","180-266","Moderate","Full-body workout, low-impact on joints, improves lung capacity"
"Cardiovascular","Jump Rope","300-400","High","Cardio endurance, coordination, bone density improvement"
"Cardiovascular","Running","240-355","High","Boosts stamina, burns calories, releases endorphins for mood"
"Cardiovascular","Stair Climbing","180-250","High","Builds lower body strength, intense calorie burn, improves heart efficiency"
"Cardiovascular","Rowing","210-300","Moderate-High","Excellent full-body cardiovascular workout, strengthens back and arms"
"Cardiovascular","Elliptical Training","220-320","Moderate-High","Low-impact cardio that mimics running, good for knee health"
"Dermatological","Yoga (reduces stress-related skin issues)","90-120","Low-Moderate","Stress reduction, improves circulation for glowing skin"
"Dermatological","Swimming (chlorine-free for hydration)","180-266","Moderate","Hydrates skin, full-body movement, reduces inflammation"
"Dermatological","Pilates (improves circulation)","90-150","Low-Moderate","Core strength, circulation, promotes nutrient delivery to skin"
"Dermatological","Brisk Walking","120-180","Moderate","Increases blood flow, helps flush out toxins through sweat, reduces acne"
"Dermatological","Rebounding (on a mini-trampoline)","150-200","Moderate","Boosts lymphatic drainage, which can help reduce skin congestion and puffiness"
"ear nose and throat","Neck Stretches","30-50","Low","Relieves tension, improves mobility, can reduce sinus pressure headaches"
"ear nose and throat","Deep Breathing Exercises","20-40","Low","Sinus relief, oxygenates blood, can help clear Eustachian tubes"
"ear nose and throat","Jaw Exercises (for TMJ relief)","30-60","Low","Reduces jaw pain, improves alignment, decreases ear ringing (tinnitus)"
"ear nose and throat","Humming (Sinus Vibration)","10-20","Low","Increases nitric oxide production, which helps fight sinus infections and improve airflow"
"ear nose and throat","Steam Inhalation with Breathing","30-60","Low","Loosens mucus in sinuses and throat, soothes irritated airways"
"Endocrine","High-Intensity Interval Training (HIIT)","300-450","High","Boosts metabolism, improves insulin sensitivity, promotes human growth hormone release"
"Endocrine","Strength Training","180-250","Moderate-High","Muscle growth, hormone balance (testosterone, growth hormone), improves glucose uptake"
"Endocrine","Cycling","200-300","Moderate-High","Improves glucose metabolism, helps manage weight which is crucial for endocrine health"
"Endocrine","Circuit Training","250-350","High","Keeps heart rate elevated while building muscle, excellent for metabolic hormone regulation"
"Endocrine","Power Walking on an Incline","180-220","Moderate","Effectively manages blood sugar levels, improves insulin response without high joint impact"
"Gastrointestinal","Core Strengthening (e.g., planks)","100-150","Moderate","Aids digestion, strengthens abdomen, can help reduce symptoms of bloating"
"Gastrointestinal","Light Jogging","180-240","Moderate","Stimulates bowel movement, reduces transit time, helps relieve constipation"
"Gastrointestinal","Yoga (twists aid digestion)","90-120","Low-Moderate","Relieves bloating, improves gut health, massages internal organs"
"Gastrointestinal","Abdominal Massage with Movement","50-80","Low","Directly stimulates the colon, can relieve gas and promote regularity"
"Gastrointestinal","Low-Impact Aerobics","150-200","Moderate","Gentle bouncing motion can stimulate digestive tract and improve overall gut motility"
"Genetic","Low-Impact Aerobics","150-200","Moderate","Gentle on joints, improves mobility and cardiovascular health for those with genetic limitations"
"Genetic","Resistance Training","180-250","Moderate-High","Maintains muscle mass, bone density, crucial for managing genetic conditions like muscular dystrophy"
"Genetic","Tai Chi (gentle on joints)","60-90","Low","Balance, flexibility, stress reduction, improves functional movement patterns"
"Genetic","Water Aerobics","120-180","Low-Moderate","Provides resistance without impact, ideal for joint hypermobility or arthritis syndromes"
"Genetic","Stationary Cycling","200-280","Moderate","Excellent cardio that protects fragile joints and connective tissues common in some genetic disorders"
"Hematological","Moderate Walking","90-150","Low-Moderate","Improves circulation, oxygen flow throughout the body, boosts energy levels"
"Hematological","Light Swimming","120-180","Low-Moderate","Low-impact, boosts RBC production, improves overall oxygen-carrying capacity"
"Hematological","Stretching","40-80","Low","Enhances blood flow, reduces stiffness, prevents blood pooling in extremities"
"Hematological","Rebounding","150-200","Moderate","The up-and-down motion is highly effective at stimulating blood and lymphatic circulation"
"Hematological","Dynamic Yoga Flow","100-150","Moderate","Combines movement with deep breathing to maximize oxygenation of the blood"
"Hepatic","Core Exercises","100-150","Moderate","Supports liver function by strengthening core, may aid in the detoxification process"
"Hepatic","Brisk Walking","120-180","Moderate","Promotes liver enzyme activity, helps reduce fatty liver disease by burning triglycerides"
"Hepatic","Yoga (liver detox poses)","90-120","Low-Moderate","Twists stimulate detox pathways, improve blood flow to digestive organs"
"Hepatic","Moderate Cycling","200-300","Moderate-High","Helps with weight management, a key factor in maintaining a healthy liver and preventing NAFLD"
"Hepatic","Bodyweight Squats","120-180","Moderate","Builds muscle which improves metabolic health, reducing the liver's fat-processing burden"
"Immunological","Moderate Cardio (boosts immunity)","150-220","Moderate","Enhances white blood cell activity, helps immune cells circulate more efficiently"
"Immunological","Yoga (reduces inflammation)","90-120","Low-Moderate","Lowers cortisol, has an anti-inflammatory effect on the body"
"Immunological","Bodyweight Exercises","150-200","Moderate","Strengthens immune response, promotes good circulation of lymph"
"Immunological","Dancing","150-220","Moderate","Reduces stress hormones, increases antibody production, and improves immune surveillance"
"Immunological","Outdoor Hiking","180-250","Moderate","Combines exercise with fresh air and vitamin D, all of which synergistically support immune function"
"Infectious","Light Walking (recovery)","90-120","Low","Promotes healing, gentle movement that aids circulation without overexertion"
"Infectious","Stretching","40-80","Low","Reduces muscle tension and aches, improves recovery, maintains flexibility while resting"
"Infectious","Deep Breathing Exercises","20-40","Low","Oxygenates blood, supports lung health, can help clear mucus from airways"
"Infectious","Restorative Yoga","50-90","Very Low","Supports the parasympathetic nervous system ('rest and digest'), which is crucial for healing"
"Infectious","Very Gentle Swimming","100-150","Low","Can help clear congestion and provide mild movement in a warm, humid environment"
"Metabolic","HIIT Workouts","300-450","High","EPOC effect (burning calories post-workout), significantly improves insulin sensitivity"
"Metabolic","Strength Training","180-250","Moderate-High","Builds muscle, raises BMR (Basal Metabolic Rate), improves glucose metabolism"
"Metabolic","Circuit Training","250-350","High","Combines cardio + strength for a powerful metabolic boost and sustained calorie burn"
"Metabolic","Kettlebell Swings","250-400","High","Powerful full-body movement that builds muscle and torches calories, revving up metabolism"
"Metabolic","Boxing or Kickboxing","300-450","High","Extremely high calorie-burn activity that improves metabolic rate and cardiovascular health"
"Musculoskeletal","Weight Lifting","180-250","Moderate-High","Builds muscle, strengthens bones, protects against osteoporosis and sarcopenia"
"Musculoskeletal","Swimming","180-266","Moderate","Low-impact, full-body resistance, improves joint mobility and muscle strength"
"Musculoskeletal","Yoga (flexibility)","90-120","Low-Moderate","Improves joint mobility, posture, lengthens muscles, prevents injuries"
"Musculoskeletal","Pilates","90-150","Low-Moderate","Focuses on core stability, spinal alignment, and balanced muscle development"
"Musculoskeletal","Rock Climbing","250-350","High","Builds incredible functional strength in hands, arms, back, and core, and improves flexibility"
"Neurological","Balance Exercises (e.g., tai chi)","60-90","Low","Enhances coordination, prevents falls, strengthens neural pathways for stability"
"Neurological","Aerobic Exercise","200-300","Moderate","Boosts brain-derived neurotrophic factor (BDNF), which is like fertilizer for brain cells"
"Neurological","Dancing (cognitive benefits)","150-220","Moderate","Memory, coordination, mood, requires complex mental and physical coordination"
"Neurological","Coordination Drills (e.g., agility ladder)","100-180","Moderate","Sharpens reflexes, improves mind-muscle connection, and processing speed"
"Neurological","Juggling or Complex Skill Learning","80-120","Low","Forces the brain to create new neural connections, enhancing neuroplasticity"
"Oncological","Gentle Walking","90-120","Low","Fatigue management, gentle movement, helps maintain a sense of normalcy and energy"
"Oncological","Stretching","40-80","Low","Maintains mobility, reduces stiffness and pain from treatment or inactivity"
"Oncological","Resistance Bands Training","120-180","Moderate","Preserves muscle mass during treatment, fights cancer-related cachexia"
"Oncological","Restorative Yoga","50-90","Very Low","Manages stress and anxiety, provides gentle movement, improves sleep quality"
"Oncological","Qi Gong","60-100","Very Low","Very gentle energy work that reduces fatigue, improves mood, and promotes relaxation during recovery"
"Ophthalmological","Eye Focus Exercises","20-40","Low","Reduces digital strain, improves focus and flexibility of eye muscles"
"Ophthalmological","Neck & Shoulder Stretches","30-60","Low","Relieves tension headaches that can cause eye strain, improves posture"
"Ophthalmological","Low-Impact Cardio","120-180","Moderate","Improves circulation to eyes, providing essential nutrients and oxygen"
"Ophthalmological","Ping Pong / Table Tennis","120-180","Moderate","Dramatically improves eye tracking, focus shifting, and hand-eye coordination"
"Ophthalmological","Palming (Eye Relaxation)","5-15","Very Low","Relaxes the ciliary muscle, reduces strain, and soothes tired eyes"
"Oral","Jaw Exercises","30-60","Low","TMJ relief, reduces teeth grinding (bruxism), improves jaw mobility"
"Oral","Neck Stretches","30-50","Low","Relieves tension that contributes to jaw pain and headaches, improves posture"
"Oral","Deep Breathing (sinus health)","20-40","Low","Clears nasal passages, oxygenates, can reduce mouth breathing which causes dry mouth"
"Oral","Tongue Strengthening Exercises","10-20","Low","Improves swallowing function, speech clarity, and can help reduce snoring"
"Oral","Postural Correction Exercises","40-70","Low","Improves head and neck alignment, which reduces strain on the jaw joint and muscles"
"Pediatric","Active Play (tag, hide & seek)","150-200","Moderate","Develops motor skills, social interaction, creativity, and fundamental movement"
"Pediatric","Swimming","120-180","Moderate","Full-body coordination, water confidence, cardiovascular health in a fun setting"
"Pediatric","Bike Riding","150-220","Moderate","Balance, leg strength, endurance, independence, and spatial awareness"
"Pediatric","Martial Arts","150-220","Moderate","Discipline, coordination, respect, and full-body conditioning in a structured environment"
"Pediatric","Obstacle Courses","180-250","Moderate-High","Develops problem-solving, agility, strength, and confidence in a playful way"
"Reproductive","Pelvic Floor Exercises (Kegels)","30-60","Low","Prevents incontinence, supports pregnancy and postpartum recovery, enhances sexual health"
"Reproductive","Yoga (fertility poses)","90-120","Low-Moderate","Stress reduction, increases pelvic blood flow, supports reproductive organ health"
"Reproductive","Core Strengthening","100-150","Moderate","Supports reproductive organs, improves posture, can help reduce menstrual cramps"
"Reproductive","Walking","120-180","Moderate","Improves circulation to the pelvic region, helps manage PCOS symptoms, supports hormonal balance"
"Reproductive","Hip-Opening Stretches","40-70","Low","Relieves tension in the hips and pelvis, can improve comfort and mobility during pregnancy"
"Respiratory","Cardio (improves lung capacity)","200-300","Moderate","Strengthens diaphragm, increases VO2 max, improves efficiency of breathing"
"Respiratory","Deep Breathing Exercises","20-40","Low","Expands lung capacity, clears airways, teaches control over breath during exertion"
"Respiratory","Swimming","180-266","Moderate","Breath control, endurance, the humidity can be soothing for asthmatic airways"
"Respiratory","Singing","50-100","Low","Strengthens diaphragm and intercostal muscles, dramatically improves lung capacity and control"
"Respiratory","Interval Running","240-355","High","Pushes and then recovers lung capacity, training the respiratory system to be more efficient"
"Toxicology","Sauna Sessions (detox)","100-200","Low","Promotes sweating, toxin release through pores, improves circulation"
"Toxicology","Hot Yoga","150-220","Moderate","Combines heat + movement for detoxification through sweat and improved lymphatic flow"
"Toxicology","Jumping Jacks (lymphatic flow)","150-200","Moderate","Stimulates lymph circulation, which helps remove waste products from tissues"
"Toxicology","Rebounding","150-200","Moderate","The gravitational pull is highly effective at moving lymphatic fluid and clearing toxins"
"Toxicology","Vigorous Gardening","150-250","Moderate","Exposure to soil microbes, sunlight for vitamin D, and physical activity for detoxification"
"Urinary","Kegel Exercises","30-60","Low","Strengthens bladder control, pelvic floor, prevents stress incontinence"
"Urinary","Core Workouts","100-150","Moderate","Supports urinary organs, improves posture which reduces pressure on the bladder"
"Urinary","Low-Impact Aerobics","150-200","Moderate","Improves circulation without strain, helps maintain a healthy weight which reduces incontinence risk"
"Urinary","Walking","120-180","Moderate","Regular movement helps prevent urinary stasis and can reduce the risk of kidney stones"
"Urinary","Hip Bridge Exercise","80-120","Low","Actively engages and strengthens the glutes and pelvic floor, providing better support for the urinary system"
"Mental Health","Mindful Walking","90-120","Low","Reduces anxiety, grounding in the present moment, connects with nature"
"Mental Health","Yoga (stress relief)","90-120","Low-Moderate","Lowers cortisol, promotes mindfulness, calms the nervous system"
"Mental Health","Dance Therapy","150-220","Moderate","Mood boost, emotional expression, releases endorphins, social connection"
"Mental Health","Running","240-355","High","Powerful endorphin release, reduces stress, provides a sense of accomplishment and clarity"
"Mental Health","Boxing (for anger/stress)","300-450","High","Provides a physical outlet for frustration, reduces tension, improves mood"
"Surgical","Post-Op Walking (as approved)","60-90","Low","Prevents blood clots, gentle mobility to kickstart healing, improves circulation"
"Surgical","Stretching (recovery)","40-80","Low","Maintains flexibility, reduces scar tissue adhesion, prevents muscle atrophy"
"Surgical","Deep Breathing (lung recovery)","20-40","Low","Prevents pneumonia, improves oxygenation of blood which is critical for healing"
"Surgical","Ankle Pumps and Circles","10-20","Very Low","Crucial for preventing deep vein thrombosis (DVT) when bed-bound or immobile"
"Surgical","Very Light Arm Raises","20-40","Very Low","Maintains shoulder mobility after chest or abdominal surgery, prevents frozen shoulder"
"Lymphatic","Rebounding (mini trampoline)","150-200","Moderate","Lymph drainage, low-impact cardio, the most effective exercise for moving lymph"
"Lymphatic","Dry Brushing + Movement","50-80","Low","Stimulates lymph flow, exfoliation, combined with movement enhances the effect"
"Lymphatic","Swimming","180-266","Moderate","Full-body lymphatic stimulation, the water pressure acts as a gentle compression on the body"
"Lymphatic","Deep Diaphragmatic Breathing","15-30","Low","The diaphragm acts as a pump for lymphatic fluid, moving it from the legs and abdomen"
"Lymphatic","Legs-Up-The-Wall Pose","10-20","Very Low","Uses gravity to drain lymph from the lower extremities and reduce swelling"
